Month,MAU,DAU,Bets,Ad revenue,Pro revenue,B2B Pulse revenue,Total revenue,Total opex,Net burn/profit,Cumulative cash,ARPU
1,1000,250,22500,0,0,0,0,17085.0,-17085.0,-17085.0,0.0
2,1320,330,29700,0,0,0,0,17128.2,-17128.2,-34213.2,0.0
3,1742,436,39240,0,0,0,0,17185.44,-17185.44,-51398.64,0.0
4,2299,575,51750,0,0,0,0,22010.5,-22010.5,-73409.14,0.0
5,3035,759,68310,0,0,0,0,23134.86,-23134.86,-96544.0,0.0
6,4006,1002,90180,324.65,0,0,324.65,24291.08,-23966.43,-120510.43,0.08
7,5288,1322,118980,428.33,0,0,428.33,32788.88,-32360.55,-152870.98,0.08
8,6980,1745,157050,565.38,0,0,565.38,34042.3,-33476.92,-186347.9,0.08
9,9214,2304,207360,746.5,3565.82,0,4312.31,35369.16,-31056.85,-217404.75,0.47
10,12162,3040,273600,984.96,4706.69,0,5691.65,36791.6,-31099.95,-248504.7,0.47
11,16054,4014,361260,1300.54,6212.9,0,7513.43,38342.56,-30829.13,-279333.82,0.47
12,21191,5298,476820,1716.55,8200.92,0,9917.47,40060.92,-30143.45,-309477.27,0.47
13,24582,6146,553140,1991.3,9513.23,0,11504.54,41543.84,-30039.3,-339516.57,0.47
14,28515,7129,641610,2309.8,11035.31,0,13345.1,42792.18,-29447.08,-368963.65,0.47
15,33077,8269,744210,2679.16,12800.8,7000,22479.95,43871.92,-21391.97,-390355.62,0.68
16,38369,9592,863280,3107.81,14848.8,7000,24956.61,44960.43,-20003.82,-410359.44,0.65
17,44508,11127,1001430,3605.15,17224.6,7000,27829.74,46059.1,-18229.35,-428588.79,0.63
18,51629,12907,1161630,4181.87,19980.42,7000,31162.29,47169.55,-16007.26,-444596.05,0.6
19,59890,14972,1347480,4850.93,23177.43,7000,35028.36,60293.68,-25265.32,-469861.37,0.58
20,69472,17368,1563120,5627.23,26885.66,7000,39512.9,61433.66,-21920.77,-491782.14,0.57
21,80588,20147,1813230,6527.63,31187.56,14000,51715.18,62592.06,-10876.87,-502659.01,0.64
22,93482,23370,2103300,7571.88,36177.53,14000,57749.41,63771.78,-6022.37,-508681.38,0.62
23,108439,27110,2439900,8783.64,41965.89,14000,64749.53,64976.27,-226.73,-508908.12,0.6
24,125789,31447,2830230,10188.83,48680.34,14000,72869.17,66209.47,6659.7,-502248.41,0.58
25,135852,33963,3056670,11004.01,52574.72,14000,77578.74,66330.22,11248.51,-490999.9,0.57
26,146720,36680,3301200,11884.32,56780.64,14000,82664.96,66460.64,16204.32,-474795.58,0.56
27,158458,39614,3565260,12834.94,61323.25,21000,95158.18,66601.5,28556.69,-446238.89,0.6
28,171135,42784,3850560,13862.02,66229.25,21000,101091.26,66753.62,34337.64,-411901.25,0.59
29,184826,46206,4158540,14970.74,71527.66,21000,107498.41,66917.91,40580.49,-371320.76,0.58
30,199612,49903,4491270,16168.57,77249.84,21000,114418.42,67095.34,47323.07,-323997.69,0.57
31,215581,53895,4850550,17461.98,83429.85,21000,121891.83,67286.97,54604.85,-269392.83,0.57
32,232827,58207,5238630,18859.07,90104.05,21000,129963.12,67493.92,62469.19,-206923.64,0.56
33,251453,62863,5657670,20367.61,97312.31,28000,145679.92,67717.44,77962.49,-128961.15,0.58
34,271569,67892,6110280,21997.01,105097.2,28000,155094.21,67958.83,87135.38,-41825.77,0.57
35,293295,73324,6599160,23756.98,113505.17,28000,165262.14,68219.54,97042.6,55216.83,0.56
36,316759,79190,7127100,25657.56,122585.73,28000,176243.29,68501.11,107742.18,162959.02,0.56
